"","race","in_kbp","in_mpv","in_fe","in_wapo","year","sex","state"
"2857","Black",0,0,1,0,2011,"Male","TX"
"2858","Race unspecified",0,0,1,0,2011,"Male","CO"
"2859","Race unspecified",0,0,1,0,2011,"Male","PA"
"2860","White",0,0,1,0,2011,"Male","CA"
"2861","Hispanic",0,0,1,0,2011,"Male","TX"
"2862","Race unspecified",0,0,1,0,2011,"Male","CA"
"2863","Hispanic",0,0,1,0,2011,"Female","CO"
"2864","White",0,0,1,0,2011,"Male","AR"
"2865","White",0,0,1,0,2011,"Male","MI"
"2866","Race unspecified",0,0,1,0,2011,"Male","NY"
"2867","White",0,0,1,0,2011,"Male","AL"
"2868","White",0,0,1,0,2011,"Male","CA"
"2869","Black",0,0,1,0,2011,"Male","SC"
"2870","Black",0,0,1,0,2011,"Male","NY"
"2871","Hispanic",0,0,1,0,2011,"Male","OK"
"2872","White",0,0,1,0,2011,"Male","SC"
"2873","Race unspecified",0,0,1,0,2011,"Male","WA"
"2874","White",0,0,1,0,2011,"Male","NJ"
"2875","Hispanic",0,0,1,0,2011,"Male","IL"
"2876","Hispanic",0,0,1,0,2011,"Male","TX"
"2877","White",0,0,1,0,2011,"Male","CA"
"2878","White",0,0,1,0,2011,"Male","MN"
"2879","Race unspecified",0,0,1,0,2011,"Female","KY"
"2880","White",0,0,1,0,2011,"Male","OH"
"2881","Race unspecified",0,0,1,0,2011,"Male","OH"
"2882","White",0,0,1,0,2011,"Male","MI"
"2883","White",0,0,1,0,2011,"Male","TX"
"2884","Race unspecified",0,0,1,0,2011,"Male","MO"
"2885","Black",0,0,1,0,2011,"Female","MS"
"2886","Black",0,0,1,0,2011,"Male","CA"
"2887","White",0,0,1,0,2011,"Male","GA"
"2888","White",0,0,1,0,2011,"Female","FL"
"2889","White",0,0,1,0,2011,"Male","TX"
"2890","Black",0,0,1,0,2011,"Male","GA"
"2891","White",0,0,1,0,2011,"Male","NY"
"2892","Black",0,0,1,0,2011,"Female","MO"
"2893","White",0,0,1,0,2011,"Male","TX"
"2894","White",0,0,1,0,2011,"Male","TX"
"2895","White",0,0,1,0,2011,"Female","MN"
"2896","Black",0,0,1,0,2011,"Male","NJ"
"2897","Hispanic",0,0,1,0,2011,"Male","TX"
"2898","Race unspecified",0,0,1,0,2011,"Male","CA"
"2899","White",0,0,1,0,2011,"Male","OK"
"2900","White",0,0,1,0,2011,"Male","WA"
"2901","Hispanic",0,0,1,0,2011,"Male","CA"
"2902","Race unspecified",0,0,1,0,2011,"Male","FL"
"2903","White",0,0,1,0,2011,"Male","ME"
"2904","Black",0,0,1,0,2011,"Male","MI"
"2905","Hispanic",0,0,1,0,2011,"Male","CA"
"2906","Race unspecified",0,0,1,0,2011,"Male","IL"
"2907","White",0,0,1,0,2011,"Male","NY"
"2908","Black",0,0,1,0,2011,"Male","IN"
"2909","White",0,0,1,0,2011,"Male","MD"
"2910","Black",0,0,1,0,2011,"Male","LA"
"2911","White",0,0,1,0,2011,"Male","WV"
"2912","White",0,0,1,0,2011,"Male","FL"
"2913","Black",0,0,1,0,2011,"Male","CA"
"2914","Race unspecified",0,0,1,0,2011,"Male","WA"
"2915","Black",0,0,1,0,2011,"Male","OK"
"2916","White",0,0,1,0,2011,"Male","UT"
"2917","Race unspecified",0,0,1,0,2011,"Male","CA"
"2918","Race unspecified",0,0,1,0,2011,"Female","MI"
"2919","Race unspecified",0,0,1,0,2011,"Male","PA"
"2920","Race unspecified",0,0,1,0,2011,"Male","TN"
"2921","White",0,0,1,0,2011,"Male","NC"
"2922","Black",0,0,1,0,2011,"Male","CO"
"2923","Black",0,0,1,0,2011,"Male","FL"
"2924","Race unspecified",0,0,1,0,2011,"Male","NC"
"2925","Hispanic",0,0,1,0,2011,"Male","CA"
"2926","Race unspecified",0,0,1,0,2011,"Female","FL"
"2927","Race unspecified",0,0,1,0,2011,"Male","FL"
"2928","Black",0,0,1,0,2011,"Male","CA"
"2929","Black",0,0,1,0,2011,"Female","CA"
"2930","Black",0,0,1,0,2011,"Male","CA"
"2931","White",0,0,1,0,2011,"Male","CA"
"2932","Black",0,0,1,0,2011,"Male","IL"
"2933","Black",0,0,1,0,2011,"Female","NY"
"2934","White",0,0,1,0,2011,"Male","MD"
"2935","White",0,0,1,0,2011,"Male","CA"
"2936","Asian",0,0,1,0,2011,"Male","CA"
"2937","White",0,0,1,0,2011,"Male","MO"
"2938","White",0,0,1,0,2011,"Female","MO"
"2939","White",0,0,1,0,2011,"Male","FL"
"2940","White",0,0,1,0,2011,"Male","NM"
"2941","Race unspecified",0,0,1,0,2011,"Male","NM"
"2942","Race unspecified",0,0,1,0,2011,"Male","IL"
"2943","Black",0,0,1,0,2011,"Male","CA"
"2944","Race unspecified",0,0,1,0,2011,"Male","MD"
"2945","Black",0,0,1,0,2011,"Male","KS"
"2946","White",0,0,1,0,2011,"Male","KS"
"2947","Hispanic",0,0,1,0,2011,"Male","FL"
"2948","Black",0,0,1,0,2011,"Male","MD"
"2949","Black",0,0,1,0,2011,"Male","CA"
"2950","White",0,0,1,0,2011,"Male","AL"
"2951","Hispanic",0,0,1,0,2011,"Male","CA"
"2952","White",0,0,1,0,2011,"Female","IA"
"2953","Black",0,0,1,0,2011,"Male","FL"
"2954","Black",0,0,1,0,2011,"Male","FL"
"2955","Hispanic",0,0,1,0,2011,"Male","CA"
"2956","Hispanic",0,0,1,0,2011,"Male","CO"
"2957","White",0,0,1,0,2011,"Male","TN"
"2958","White",0,0,1,0,2011,"Male","WY"
"2959","Black",0,0,1,0,2011,"Male","TX"
"2960","White",0,0,1,0,2011,"Male","KS"
"2961","Race unspecified",0,0,1,0,2011,"Male","IL"
"2962","Hispanic",0,0,1,0,2011,"Male","CA"
"2963","Race unspecified",0,0,1,0,2011,"Male","OR"
"2964","White",0,0,1,0,2011,"Male","KS"
"2965","White",0,0,1,0,2011,"Male","MT"
"2966","White",0,0,1,0,2011,"Male","OR"
"2967","White",0,0,1,0,2011,"Male","MI"
"2968","White",0,0,1,0,2011,"Male","MI"
"2969","Hispanic",0,0,1,0,2011,"Male","FL"
"2970","Black",0,0,1,0,2011,"Female","FL"
"2971","White",0,0,1,0,2011,"Male","TX"
"2972","Hispanic",0,0,1,0,2011,"Male","AZ"
"2973","White",0,0,1,0,2011,"Male","NJ"
"2974","Black",0,0,1,0,2011,"Male","GA"
"2975","Race unspecified",0,0,1,0,2011,"Male","LA"
"2976","Asian",0,0,1,0,2011,"Male","CA"
"2977","Hispanic",0,0,1,0,2011,"Male","CA"
"2978","White",0,0,1,0,2011,"Male","CA"
"2979","White",0,0,1,0,2011,"Male","NC"
"2980","Black",0,0,1,0,2011,"Male","PA"
"2981","Race unspecified",0,0,1,0,2011,"Male","TX"
"2982","Black",0,0,1,0,2011,"Male","TX"
"2983","White",0,0,1,0,2011,"Male","CA"
"2984","Hispanic",0,0,1,0,2011,"Male","CO"
"2985","Black",0,0,1,0,2011,"Male","IN"
"2986","Race unspecified",0,0,1,0,2011,"Male","MD"
"2987","Black",0,0,1,0,2011,"Male","SC"
"2988","Race unspecified",0,0,1,0,2011,"Male","CA"
"2989","White",0,0,1,0,2011,"Male","WA"
"2990","White",0,0,1,0,2011,"Male","LA"
"2991","Race unspecified",0,0,1,0,2011,"Male","CO"
"2992","Race unspecified",0,0,1,0,2011,"Male","WA"
"2993","Race unspecified",0,0,1,0,2011,"Male","CA"
"2994","Race unspecified",0,0,1,0,2011,"Male","NH"
"2995","White",0,0,1,0,2011,"Male","IL"
"2996","White",0,0,1,0,2011,"Male","WA"
"2997","Race unspecified",0,0,1,0,2011,"Male","WA"
"2998","Race unspecified",0,0,1,0,2011,"Male","CA"
"2999","Hispanic",0,0,1,0,2011,"Male","WA"
"3000","White",0,0,1,0,2011,"Male","CA"
"3001","White",0,0,1,0,2011,"Male","IA"
"3002","Race unspecified",0,0,1,0,2011,"Male","CA"
"3003","Hispanic",0,0,1,0,2011,"Male","FL"
"3004","Black",0,0,1,0,2011,"Male","PA"
"3005","Hispanic",0,0,1,0,2011,"Male","CA"
"3006","Race unspecified",0,0,1,0,2011,"Male","AZ"
"3007","White",0,0,1,0,2011,"Male","KY"
"3008","Race unspecified",0,0,1,0,2011,"Male","IL"
"3009","White",0,0,1,0,2011,"Male","SC"
"3010","White",0,0,1,0,2011,"Male","AL"
"3011","Race unspecified",0,0,1,0,2011,"Male","CO"
"3012","Race unspecified",0,0,1,0,2011,"Male","AZ"
"3013","Black",0,0,1,0,2011,"Female","LA"
"3014","Hispanic",0,0,1,0,2011,"Male","TX"
"3015","Black",0,0,1,0,2011,"Male","NJ"
"3016","Race unspecified",0,0,1,0,2011,"Male","CA"
"3017","Race unspecified",0,0,1,0,2011,"Female","CA"
"3018","Black",0,0,1,0,2011,"Male","TX"
"3019","Black",0,0,1,0,2011,"Female","TX"
"3020","Race unspecified",0,0,1,0,2011,"Male","AR"
"3021","White",0,0,1,0,2011,"Male","AL"
"3022","Black",0,0,1,0,2011,"Male","KS"
"3023","White",0,0,1,0,2011,"Male","NY"
"3024","White",0,0,1,0,2011,"Male","CA"
"3025","Black",0,0,1,0,2011,"Male","MS"
"3026","Hispanic",0,0,1,0,2011,"Male","CA"
"3027","Hispanic",0,0,1,0,2011,"Male","CA"
"3028","Race unspecified",0,0,1,0,2011,"Male","WV"
"3029","White",0,0,1,0,2011,"Male","NC"
"3030","Hispanic",0,0,1,0,2011,"Male","TX"
"3031","White",0,0,1,0,2011,"Male","LA"
"3032","Hispanic",0,0,1,0,2011,"Male","CA"
"3033","Black",0,0,1,0,2011,"Male","NY"
"3034","White",0,0,1,0,2011,"Male","KS"
"3035","Asian",0,0,1,0,2011,"Male","HI"
"3036","Black",0,0,1,0,2011,"Male","IN"
"3037","White",0,0,1,0,2011,"Male","AL"
"3038","White",0,0,1,0,2011,"Male","VA"
"3039","White",0,0,1,0,2011,"Male","TX"
"3040","Race unspecified",0,0,1,0,2011,"Male","WI"
"3041","Black",0,0,1,0,2011,"Male","IL"
"3042","Black",0,0,1,0,2011,"Male","MA"
"3043","White",0,0,1,0,2011,"Male","MD"
"3044","Black",0,0,1,0,2011,"Male","MO"
"3045","Race unspecified",0,0,1,0,2011,"Male","GA"
"3046","Hispanic",0,0,1,0,2011,"Male","TX"
"3047","White",0,0,1,0,2011,"Male","GA"
"3048","Race unspecified",0,0,1,0,2011,"Male","ME"
"3049","Race unspecified",0,0,1,0,2011,"Male","CA"
"3050","Black",0,0,1,0,2011,"Male","WI"
"3051","Race unspecified",0,0,1,0,2011,"Male","AL"
"3052","White",0,0,1,0,2011,"Male","WA"
"3053","Black",0,0,1,0,2011,"Male","NJ"
"3054","Black",0,0,1,0,2011,"Male","MD"
"3055","Black",0,0,1,0,2011,"Male","FL"
"3056","NA_PI",0,0,1,0,2011,"Male","ID"
"3057","White",0,0,1,0,2011,"Male","CA"
"3058","White",0,0,1,0,2011,"Female","WA"
"3059","White",0,0,1,0,2011,"Male","WI"
"3060","Race unspecified",0,0,1,0,2011,"Male","CT"
"3061","Asian",0,0,1,0,2011,"Male","AZ"
"3062","Race unspecified",0,0,1,0,2011,"Male","CA"
"3063","White",0,0,1,0,2011,"Male","TN"
"3064","White",0,0,1,0,2011,"Male","SC"
"3065","White",0,0,1,0,2011,"Male","AR"
"3066","Race unspecified",0,0,1,0,2011,"Male","CA"
"3067","Black",0,0,1,0,2011,"Male","MN"
"3068","Race unspecified",0,0,1,0,2011,"Male","VT"
"3069","Black",0,0,1,0,2011,"Male","GA"
"3070","Race unspecified",0,0,1,0,2011,"Male","CA"
"3071","Race unspecified",0,0,1,0,2011,"Male","CA"
"3072","Black",0,0,1,0,2011,"Male","NY"
"3073","White",0,0,1,0,2011,"Male","ME"
"3074","Black",0,0,1,0,2011,"Male","KY"
"3075","White",0,0,1,0,2011,"Female","WI"
"3076","White",0,0,1,0,2011,"Male","OK"
"3077","Black",0,0,1,0,2011,"Female","MS"
"3078","Race unspecified",0,0,1,0,2011,"Male","MO"
"3079","Hispanic",0,0,1,0,2011,"Male","OK"
"3080","Race unspecified",0,0,1,0,2011,"Male","CA"
"3081","Black",0,0,1,0,2011,"Male","NV"
"3082","Hispanic",0,0,1,0,2011,"Male","TX"
"3083","White",0,0,1,0,2011,"Male","OH"
"3084","Black",0,0,1,0,2011,"Male","NC"
"3085","Hispanic",0,0,1,0,2011,"Male","FL"
"3086","Black",0,0,1,0,2011,"Male","CA"
"3087","Black",0,0,1,0,2011,"Male","FL"
"3088","Black",0,0,1,0,2011,"Male","MD"
"3089","Black",0,0,1,0,2011,"Male","PA"
"3090","Black",0,0,1,0,2011,"Male","IL"
"3091","Black",0,0,1,0,2011,"Male","GA"
"3092","Race unspecified",0,0,1,0,2011,"Male","CA"
"3093","Black",0,0,1,0,2011,"Male","MO"
"3094","Race unspecified",0,0,1,0,2011,"Male","MD"
"3095","Hispanic",0,0,1,0,2011,"Male","CA"
"3096","Race unspecified",0,0,1,0,2011,"Male","MI"
"3097","Race unspecified",0,0,1,0,2011,"Male","OH"
"3098","Black",0,0,1,0,2011,"Male","IN"
"3099","White",0,0,1,0,2011,"Male","TN"
"3100","Black",0,0,1,0,2011,"Male","TX"
"3101","White",0,0,1,0,2011,"Male","WA"
"3102","Black",0,0,1,0,2011,"Female","GA"
"3103","Race unspecified",0,0,1,0,2011,"Male","NY"
"3104","White",0,0,1,0,2011,"Male","IL"
"3105","Race unspecified",0,0,1,0,2011,"Male","ME"
"3106","Black",0,0,1,0,2011,"Male","SC"
"3107","Hispanic",0,0,1,0,2011,"Male","TX"
"3108","White",0,0,1,0,2011,"Male","OK"
"3109","Hispanic",0,0,1,0,2011,"Male","CA"
"3110","Race unspecified",0,0,1,0,2011,"Female","FL"
"3111","Asian",0,0,1,0,2011,"Male","HI"
"3112","Hispanic",0,0,1,0,2011,"Female","TX"
"3113","Hispanic",0,0,1,0,2011,"Male","FL"
"3114","Asian",0,0,1,0,2011,"Male","CA"
"3115","Black",0,0,1,0,2011,"Male","TX"
"3116","White",0,0,1,0,2011,"Male","TX"
"3117","Race unspecified",0,0,1,0,2011,"Male","LA"
"3118","Hispanic",0,0,1,0,2011,"Male","AZ"
"3119","Hispanic",0,0,1,0,2011,"Male","FL"
"3120","Black",0,0,1,0,2011,"Male","MO"
"3121","White",0,0,1,0,2011,"Male","NV"
"3122","Hispanic",0,0,1,0,2011,"Male","CA"
"3123","White",0,0,1,0,2011,"Male","VA"
"3124","White",0,0,1,0,2011,"Male","WA"
"3125","Race unspecified",0,0,1,0,2011,"Male","OK"
"3126","Black",0,0,1,0,2011,"Male","LA"
"3127","White",0,0,1,0,2011,"Male","CA"
"3128","White",0,0,1,0,2011,"Male","FL"
"3129","Race unspecified",0,0,1,0,2011,"Male","PA"
"3130","White",0,0,1,0,2011,"Male","PA"
"3131","White",0,0,1,0,2011,"Male","CA"
"3132","Black",0,0,1,0,2011,"Male","NJ"
"3133","Race unspecified",0,0,1,0,2011,"Male","MD"
"3134","Race unspecified",0,0,1,0,2011,"Female","NY"
"3135","White",0,0,1,0,2011,"Male","VA"
"3136","White",0,0,1,0,2011,"Female","MO"
"3137","White",0,0,1,0,2011,"Male","MO"
"3138","White",0,0,1,0,2011,"Male","IL"
"3139","White",0,0,1,0,2011,"Male","TX"
"3140","White",0,0,1,0,2011,"Male","MO"
"3141","Black",0,0,1,0,2011,"Male","NV"
"3142","Black",0,0,1,0,2011,"Male","DC"
"3143","Black",0,0,1,0,2011,"Male","IN"
"3144","White",0,0,1,0,2011,"Female","AZ"
"3145","White",0,0,1,0,2011,"Male","IN"
"3146","White",0,0,1,0,2011,"Male","CA"
"3147","Black",0,0,1,0,2011,"Male","AL"
"3148","White",0,0,1,0,2011,"Male","AL"
"3149","Black",0,0,1,0,2011,"Male","MD"
"3150","Black",0,0,1,0,2011,"Male","GA"
"3151","Black",0,0,1,0,2011,"Male","NY"
"3152","White",0,0,1,0,2011,"Male","IA"
"3153","Black",0,0,1,0,2011,"Male","LA"
"3154","Hispanic",0,0,1,0,2011,"Male","CA"
"3155","White",0,0,1,0,2011,"Male","NY"
"3156","Race unspecified",0,0,1,0,2011,"Male","MI"
"3157","Race unspecified",0,0,1,0,2011,"Male","NJ"
"3158","White",0,0,1,0,2011,"Male","IN"
"3159","White",0,0,1,0,2011,"Male","CA"
"3160","Race unspecified",0,0,1,0,2011,"Female","CA"
"3161","Black",0,0,1,0,2011,"Male","FL"
"3162","Hispanic",0,0,1,0,2011,"Male","NM"
"3163","Black",0,0,1,0,2011,"Male","MD"
"3164","Hispanic",0,0,1,0,2011,"Male","CA"
"3165","Black",0,0,1,0,2011,"Male","VA"
"3166","White",0,0,1,0,2011,"Male","TX"
"3167","Black",0,0,1,0,2011,"Male","TX"
"3168","Race unspecified",0,0,1,0,2011,"Male","WA"
"3169","Race unspecified",0,0,1,0,2011,"Male","PA"
"3170","White",0,0,1,0,2011,"Male","IN"
"3171","Race unspecified",0,0,1,0,2011,"Male","CO"
"3172","Black",0,0,1,0,2011,"Male","MO"
"3173","Race unspecified",0,0,1,0,2011,"Male","AZ"
"3174","Black",0,0,1,0,2011,"Male","GA"
"3175","White",0,0,1,0,2011,"Male","VA"
"3176","White",0,0,1,0,2011,"Male","CA"
"3177","White",0,0,1,0,2011,"Male","WA"
"3178","Hispanic",0,0,1,0,2011,"Male","CA"
"3179","Black",0,0,1,0,2011,"Male","VA"
"3180","Race unspecified",0,0,1,0,2011,"Male","PA"
"3181","Race unspecified",0,0,1,0,2011,"Male","IL"
"3182","Black",0,0,1,0,2011,"Male","LA"
"3183","Black",0,0,1,0,2011,"Male","TX"
"3184","White",0,0,1,0,2011,"Male","AL"
"3185","Hispanic",0,0,1,0,2011,"Male","NJ"
"3186","White",0,0,1,0,2011,"Male","PA"
"3187","Race unspecified",0,0,1,0,2011,"Male","PA"
"3188","Race unspecified",0,0,1,0,2011,"Male","GA"
"3189","White",0,0,1,0,2011,"Male","TX"
"3190","Black",0,0,1,0,2011,"Female","GA"
"3191","White",0,0,1,0,2011,"Male","TX"
"3192","White",0,0,1,0,2011,"Male","NV"
"3193","White",0,0,1,0,2011,"Male","FL"
"3194","Race unspecified",0,0,1,0,2011,"Male","CA"
"3195","White",0,0,1,0,2011,"Male","TN"
"3196","Black",0,0,1,0,2011,"Male","TX"
"3197","White",0,0,1,0,2011,"Male","CA"
"3198","Race unspecified",0,0,1,0,2011,"Male","PA"
"3199","White",0,0,1,0,2011,"Male","FL"
"3200","White",0,0,1,0,2011,"Male","CA"
"3201","White",0,0,1,0,2011,"Male","CA"
"3202","Black",0,0,1,0,2011,"Male","IL"
"3203","Hispanic",0,0,1,0,2011,"Male","CA"
"3204","White",0,0,1,0,2011,"Male","CA"
"3205","Black",0,0,1,0,2011,"Male","TX"
"3206","White",0,0,1,0,2011,"Male","UT"
"3207","Black",0,0,1,0,2011,"Male","NY"
"3208","Black",0,0,1,0,2011,"Male","OH"
"3209","White",0,0,1,0,2011,"Male","NY"
"3210","Race unspecified",0,0,1,0,2011,"Male","FL"
"3211","Black",0,0,1,0,2011,"Male","NJ"
"3212","Race unspecified",0,0,1,0,2011,"Male","NY"
"3213","White",0,0,1,0,2011,"Male","NY"
"3214","White",0,0,1,0,2011,"Female","GA"
"3215","Hispanic",0,0,1,0,2011,"Male","AZ"
"3216","Race unspecified",0,0,1,0,2012,"Male","NM"
"3217","Black",0,0,1,0,2012,"Male","IL"
"3218","Race unspecified",0,0,1,0,2012,"Male","NV"
"3219","Black",0,0,1,0,2012,"Male","NJ"
"3220","White",0,0,1,0,2012,"Male","KS"
"3221","Black",0,0,1,0,2012,"Male","VA"
"3222","White",0,0,1,0,2012,"Male","NM"
"3223","Asian",0,0,1,0,2012,"Female","CA"
"3224","Hispanic",0,0,1,0,2012,"Male","TX"
"3225","White",0,0,1,0,2012,"Male","CA"
"3226","White",0,0,1,0,2012,"Male","CA"
"3227","White",0,0,1,0,2012,"Male","OR"
"3228","White",0,0,1,0,2012,"Male","OK"
"3229","Black",0,0,1,0,2012,"Male","TX"
"3230","White",0,0,1,0,2012,"Male","OH"
"3231","Hispanic",0,0,1,0,2012,"Male","CA"
"3232","White",0,0,1,0,2012,"Male","CO"
"3233","Hispanic",0,0,1,0,2012,"Male","CA"
"3234","Hispanic",0,0,1,0,2012,"Male","CA"
"3235","White",0,0,1,0,2012,"Male","CA"
"3236","White",0,0,1,0,2012,"Male","AZ"
"3237","White",0,0,1,0,2012,"Male","FL"
"3238","Hispanic",0,0,1,0,2012,"Female","TX"
"3239","Black",0,0,1,0,2012,"Male","TX"
"3240","Black",0,0,1,0,2012,"Male","LA"
"3241","Black",0,0,1,0,2012,"Male","FL"
"3242","White",0,0,1,0,2012,"Male","FL"
"3243","White",0,0,1,0,2012,"Male","TX"
"3244","Race unspecified",0,0,1,0,2012,"Male","CO"
"3245","Black",0,0,1,0,2012,"Male","LA"
"3246","White",0,0,1,0,2012,"Male","FL"
"3247","White",0,0,1,0,2012,"Male","MO"
"3248","Black",0,0,1,0,2012,"Male","NY"
"3249","Race unspecified",0,0,1,0,2012,"Male","OH"
"3250","White",0,0,1,0,2012,"Male","TX"
"3251","Race unspecified",0,0,1,0,2012,"Male","WA"
"3252","Black",0,0,1,0,2012,"Female","KY"
"3253","Black",0,0,1,0,2012,"Female","KY"
"3254","Hispanic",0,0,1,0,2012,"Male","FL"
"3255","Hispanic",0,0,1,0,2012,"Male","CA"
"3256","Hispanic",0,0,1,0,2012,"Male","MT"
"3257","NA_PI",0,0,1,0,2012,"Male","TX"
"3258","Black",0,0,1,0,2012,"Male","FL"
"3259","White",0,0,1,0,2012,"Male","TX"
"3260","Black",0,0,1,0,2012,"Male","OH"
"3261","White",0,0,1,0,2012,"Male","AR"
"3262","Hispanic",0,0,1,0,2012,"Male","CA"
"3263","Hispanic",0,0,1,0,2012,"Male","TX"
"3264","Black",0,0,1,0,2012,"Male","MO"
"3265","Black",0,0,1,0,2012,"Male","AR"
"3266","Black",0,0,1,0,2012,"Male","LA"
"3267","White",0,0,1,0,2012,"Male","CA"
"3268","White",0,0,1,0,2012,"Male","WV"
"3269","Black",0,0,1,0,2012,"Male","CA"
"3270","Race unspecified",0,0,1,0,2012,"Male","AZ"
"3271","White",0,0,1,0,2012,"Male","CA"
"3272","White",0,0,1,0,2012,"Male","MO"
"3273","White",0,0,1,0,2012,"Male","MO"
"3274","White",0,0,1,0,2012,"Male","CA"
"3275","Asian",0,0,1,0,2012,"Male","CA"
"3276","Black",0,0,1,0,2012,"Male","FL"
"3277","White",0,0,1,0,2012,"Male","MS"
"3278","White",0,0,1,0,2012,"Male","CA"
"3279","White",0,0,1,0,2012,"Male","CA"
"3280","White",0,0,1,0,2012,"Female","IL"
"3281","White",0,0,1,0,2012,"Male","AR"
"3282","White",0,0,1,0,2012,"Female","AR"
"3283","Black",0,0,1,0,2012,"Female","TX"
"3284","White",0,0,1,0,2012,"Male","CA"
"3285","Hispanic",0,0,1,0,2012,"Male","OR"
"3286","White",0,0,1,0,2012,"Male","GA"
"3287","Hispanic",0,0,1,0,2012,"Male","CA"
"3288","Hispanic",0,0,1,0,2012,"Male","CA"
"3289","Black",0,0,1,0,2012,"Male","MD"
"3290","White",0,0,1,0,2012,"Male","AZ"
"3291","White",0,0,1,0,2012,"Male","AZ"
"3292","White",0,0,1,0,2012,"Male","OR"
"3293","White",0,0,1,0,2012,"Male","MI"
"3294","White",0,0,1,0,2012,"Male","TX"
"3295","Black",0,0,1,0,2012,"Male","NY"
"3296","Black",0,0,1,0,2012,"Male","OK"
"3297","White",0,0,1,0,2012,"Male","CA"
"3298","White",0,0,1,0,2012,"Male","OR"
"3299","Black",0,0,1,0,2012,"Male","IL"
"3300","White",0,0,1,0,2012,"Male","AZ"
"3301","White",0,0,1,0,2012,"Male","FL"
"3302","Hispanic",0,0,1,0,2012,"Male","AZ"
"3303","Race unspecified",0,0,1,0,2012,"Male","DC"
"3304","Black",0,0,1,0,2012,"Male","NY"
"3305","Race unspecified",0,0,1,0,2012,"Male","WV"
"3306","Black",0,0,1,0,2012,"Male","MI"
"3307","White",0,0,1,0,2012,"Male","WA"
"3308","Hispanic",0,0,1,0,2012,"Male","CA"
"3309","Black",0,0,1,0,2012,"Male","AL"
"3310","Asian",0,0,1,0,2012,"Male","MD"
"3311","Black",0,0,1,0,2012,"Male","IN"
"3312","White",0,0,1,0,2012,"Male","OK"
"3313","White",0,0,1,0,2012,"Male","AZ"
"3314","White",0,0,1,0,2012,"Male","CA"
"3315","Hispanic",0,0,1,0,2012,"Male","NV"
"3316","Black",0,0,1,0,2012,"Male","IL"
"3317","Black",0,0,1,0,2012,"Male","NY"
"3318","Black",0,0,1,0,2012,"Male","TX"
"3319","White",0,0,1,0,2012,"Male","TX"
"3320","White",0,0,1,0,2012,"Male","AL"
"3321","White",0,0,1,0,2012,"Male","MI"
"3322","White",0,0,1,0,2012,"Male","RI"
"3323","Black",0,0,1,0,2012,"Male","AL"
"3324","White",0,0,1,0,2012,"Male","GA"
"3325","Black",0,0,1,0,2012,"Female","MS"
"3326","Black",0,0,1,0,2012,"Male","CA"
"3327","White",0,0,1,0,2012,"Male","KS"
"3328","Black",0,0,1,0,2012,"Male","CA"
"3329","White",0,0,1,0,2012,"Male","AZ"
"3330","Race unspecified",0,0,1,0,2012,"Male","TX"
"3331","Black",0,0,1,0,2012,"Male","TX"
"3332","White",0,0,1,0,2012,"Male","WA"
"3333","White",0,0,1,0,2012,"Male","CA"
"3334","White",0,0,1,0,2012,"Male","NY"
"3335","White",0,0,1,0,2012,"Female","VA"
"3336","White",0,0,1,0,2012,"Male","WY"
"3337","Race unspecified",0,0,1,0,2012,"Female","FL"
"3338","White",0,0,1,0,2012,"Male","FL"
"3339","Black",0,0,1,0,2012,"Male","CA"
"3340","Black",0,0,1,0,2012,"Male","TN"
"3341","Black",0,0,1,0,2012,"Male","GA"
"3342","White",0,0,1,0,2012,"Male","IL"
"3343","White",0,0,1,0,2012,"Male","NC"
"3344","Black",0,0,1,0,2012,"Male","IL"
"3345","Black",0,0,1,0,2012,"Male","TX"
"3346","Black",0,0,1,0,2012,"Male","FL"
"3347","Hispanic",0,0,1,0,2012,"Male","HI"
"3348","Asian",0,0,1,0,2012,"Female","KS"
"3349","Hispanic",0,0,1,0,2012,"Female","CA"
"3350","Black",0,0,1,0,2012,"Male","TX"
"3351","White",0,0,1,0,2012,"Male","FL"
"3352","White",0,0,1,0,2012,"Male","FL"
"3353","White",0,0,1,0,2012,"Male","IN"
"3354","White",0,0,1,0,2012,"Male","CA"
"3355","White",0,0,1,0,2012,"Male","AZ"
"3356","Black",0,0,1,0,2012,"Male","NY"
"3357","White",0,0,1,0,2012,"Male","HI"
"3358","White",0,0,1,0,2012,"Male","IL"
"3359","Hispanic",0,0,1,0,2012,"Female","CA"
"3360","Black",0,0,1,0,2012,"Male","LA"
"3361","Hispanic",0,0,1,0,2012,"Male","CA"
"3362","White",0,0,1,0,2012,"Male","FL"
"3363","Hispanic",0,0,1,0,2012,"Male","CA"
"3364","White",0,0,1,0,2012,"Male","WI"
"3365","Hispanic",0,0,1,0,2012,"Male","CO"
"3366","Race unspecified",0,0,1,0,2012,"Male","GA"
"3367","Race unspecified",0,0,1,0,2012,"Male","GA"
"3368","Race unspecified",0,0,1,0,2012,"Male","TX"
"3369","Hispanic",0,0,1,0,2012,"Male","FL"
"3370","Black",0,0,1,0,2012,"Female","PA"
"3371","White",0,0,1,0,2012,"Male","GA"
"3372","White",0,0,1,0,2012,"Male","FL"
"3373","Black",0,0,1,0,2012,"Male","MO"
"3374","White",0,0,1,0,2012,"Male","CA"
"3375","White",0,0,1,0,2012,"Female","NC"
"3376","White",0,0,1,0,2012,"Male","NC"
